protocol,step,RS_energy_Eh,TS_energy_Eh,PS_energy_Eh,barrier_Eh,barrier_kcal_mol,barrier_kJ_mol,reaction_energy_Eh,reaction_energy_kcal_mol,reaction_energy_kJ_mol,TS_imaginary_count,TS_imaginary_frequencies_cm-1
GFN1_tight,RS1_1_to_TS1_2,-87.887880529004,-87.897278444238,-87.898593468573,-0.009397915234004017,-5.897280845186447,-24.67422287566976,-0.010712939569003765,-6.722471073939339,-28.12681876750235,0.0,
GFN1_tight,TS2_1a_to_PS2_2,-114.990954323423,-114.994867578944,-115.025367463752,-0.0039132555209988595,-2.4556049136095903,-10.274250883345408,-0.034413140329007774,-21.594571586543854,-90.35168685681658,0.0,
GFN2_tight,RS1_1_to_TS1_2,-83.44078993101,-83.438995226233,-83.437279485881,0.0017947047769979463,1.1261942505992686,4.711996710020292,0.003510445128995343,2.2028375764017296,9.216672352208125,1.0,-8.48
GFN2_tight,TS2_1a_to_PS2_2,-110.267326556795,-110.273360110611,-110.295016458273,-0.006033553815996129,-3.7861121814264234,-15.841093251147386,-0.027689901477998546,-17.37567551157069,-72.69982580832263,1.0,-5.63
GFN2_etemp300,RS1_1_to_TS1_2,-83.440937540962,-83.439043353752,-83.437299426917,0.0018941872099986767,1.188620419803797,4.973187800060386,0.003638114045003249,2.282951030732001,9.551867042672693,1.0,-12.82
GFN2_etemp300,TS2_1a_to_PS2_2,-110.267322842911,-110.273362002311,-110.29462616517,-0.0060391594000037685,-3.7896297384985203,-15.855810709829322,-0.02730332225900156,-17.13309338919856,-71.68486221574614,1.0,-5.87
GFN2_etemp500,RS1_1_to_TS1_2,-83.440822409853,-83.440742414628,-83.437298693201,7.999522499346767e-05,0.05019776155816255,0.21002743282216388,0.003523716651997688,2.21116558282011,9.251516730807603,0.0,
GFN2_etemp500,TS1_2_to_PS1_2b,-83.439221586655,-83.439178089921,-83.437178175878,4.3496733994174974e-05,0.027294612669402654,0.11420065857294748,0.00204341077699155,1.2822596218358988,5.364974218495219,0.0,
GFN2_etemp500,RS1_2b_to_PS1_3,-83.460581776093,-83.439198046445,-83.44225280856,0.021383729647993732,13.418492943570751,56.14297406499028,0.01832896753299451,11.501600775592463,48.122697292869425,0.0,
GFN2_etemp500,TS2_1a_to_PS2_2,-110.26725210524,-110.273356691391,-110.294632565482,-0.006104586150996738,-3.8306856445996473,-16.0275886196992,-0.027380460242000026,-17.181498204335348,-71.88738796079618,1.0,-5.93
GFN2_normal,RS1_1_to_TS1_2,-83.440742163837,-83.438978017556,-83.437234184511,0.0017641462810047415,1.1070185048523413,4.631765390402362,0.0035079793260024417,2.2012902616626664,9.210198387387267,1.0,-11.68
GFN2_normal,TS2_1a_to_PS2_2,-110.266823841759,-110.273305107519,-110.294917721861,-0.006481265759987309,-4.067055667903846,-17.01656078996569,-0.02809388010199143,-17.62917592541971,-73.76047153210406,1.0,-5.66
